iterations,threads,time_in_ns,matrix_size,gmacs
4,1,28141000,525,5.1420747308198
4,8,19755000,525,7.324886104783599
5,1,27477000,525,5.2663363904356375
5,8,37091000,525,3.901300180636812
6,1,27511000,525,5.259827887027007
6,8,29978000,525,4.826977283341117
7,1,27515000,525,5.259063238233691
7,8,84024000,525,1.722164203084833
8,1,27384000,525,5.284221625766871
8,8,19950000,525,7.253289473684211
9,1,27408000,525,5.2795944614711035
9,8,35485000,525,4.077867408764266
10,1,27498000,525,5.262314531965961
10,8,65626000,525,2.204966400511992
11,1,28504000,525,5.076590127701375
11,8,29389000,525,4.92371720711831
12,1,28405000,525,5.094283576835064
12,8,52498000,525,2.7563550040001523
13,1,29662000,525,4.878400815858674
13,8,24286000,525,5.958293873013258
14,1,28463000,525,5.083902786073147
14,8,72625000,525,1.9924698795180722
15,1,27449000,525,5.271708441108966
15,8,32455000,525,4.458577260822677
16,1,27164000,525,5.327018296274481
16,8,46422000,525,3.117123885226832
17,1,27194000,525,5.3211416121203206
17,8,30957000,525,4.674326485124528
18,1,27225000,525,5.315082644628099
18,8,29295000,525,4.939516129032258
19,1,27323000,525,5.296018921787505
19,8,13403000,525,10.796323584272178
0,1,31150000,550,5.341091492776886
0,8,16337000,550,10.183938299565403
1,1,31441000,550,5.291657390032124
1,8,12900000,550,12.897286821705427
2,1,31202000,550,5.332190244215115
2,8,9878000,550,16.842984409799556
3,1,31269000,550,5.320764974895264
3,8,12005000,550,13.858808829654311
4,1,31222000,550,5.328774582025495
4,8,15972000,550,10.416666666666666
5,1,31129000,550,5.344694657714671
5,8,12630000,550,13.173000791765638
6,1,31192000,550,5.3338997178763785
6,8,22050000,550,7.545351473922903
7,1,31344000,550,5.308033435426238
7,8,19797000,550,8.404051118856392
8,1,32321000,550,5.147582067386529
8,8,13875000,550,11.99099099099099
9,1,31204000,550,5.331848480963979
9,8,12954000,550,12.84352323606608
10,1,30959000,550,5.374043089247069
10,8,19197000,550,8.666718758139293
11,1,31322000,550,5.311761701040802
11,8,34445000,550,4.830164029612425
12,1,31625000,550,5.260869565217392
12,8,125035000,550,1.33062742432119
13,1,31506000,550,5.280740176474322
13,8,9202000,550,18.08030862855901
14,1,36841000,550,4.516028337992997
14,8,14965000,550,11.11760775141998
15,1,31683000,550,5.251238834706309
15,8,14859000,550,11.196917692980685
16,1,31881000,550,5.218625513628807
16,8,13189000,550,12.614678899082568
17,1,32133000,550,5.177698938785672
17,8,14582000,550,11.409614593334247
18,1,31385000,550,5.301099251234667
18,8,12690000,550,13.110717100078801
19,1,31387000,550,5.300761461751681
19,8,23186000,550,7.175666350383852
0,1,36658000,575,5.186026924545802
0,8,14467000,575,13.140898251192368
1,1,36604000,575,5.193677603540596
1,8,13274000,575,14.321935739038722
2,1,36528000,575,5.204483546868156
2,8,36331000,575,5.232704164487628
3,1,36734000,575,5.175297408395492
3,8,72895000,575,2.607989231085808
4,1,38219000,575,4.974211125356498
4,8,39854000,575,4.770145405730918
5,1,36827000,575,5.162228120672332
5,8,55275000,575,3.4393374038896427
6,1,36715000,575,5.177975623042354
6,8,32905000,575,5.777522413007142
7,1,36878000,575,5.15508907749878
7,8,51302000,575,3.7056912985848505
8,1,36905000,575,5.151317572144696
8,8,76782000,575,2.4759627907582504
9,1,36639000,575,5.188716258631513
9,8,17986000,575,10.569852941176471
10,1,37077000,575,5.127420638131456
10,8,35793000,575,5.311356270779203
11,1,37389000,575,5.084633849527936
11,8,56012000,575,3.394082964364779
12,1,36901000,575,5.151875965420992
12,8,76715000,575,2.4781252036759436
13,1,36938000,575,5.146715442092154
13,8,74668000,575,2.546062235495795
14,1,36862000,575,5.157326650751451
14,8,20888000,575,9.101368010340865
15,1,36722000,575,5.176988589946081
15,8,25261000,575,7.525805589644116
16,1,36828000,575,5.162087949386336
16,8,13750000,575,13.826136363636364
17,1,37176000,575,5.113766273940176
17,8,13084000,575,14.529912488535617
18,1,36693000,575,5.181080178780694
18,8,38012000,575,5.001298931916237
19,1,36511000,575,5.2069068226014075
19,8,18497000,575,10.277849110666594
0,1,41070000,600,5.259313367421475
0,8,20331000,600,10.624169986719787
1,1,41399000,600,5.217517331336506
1,8,18909000,600,11.423131841980009
2,1,40951000,600,5.274596468950697
2,8,20997000,600,10.287183883411917
3,1,41060000,600,5.2605942523136875
3,8,20440000,600,10.567514677103718
4,1,41214000,600,5.2409375454942495
4,8,10655000,600,20.27217268887846
5,1,41107000,600,5.254579512005255
5,8,15013000,600,14.38753080663425
6,1,41705000,600,5.179235103704592
6,8,15733000,600,13.729104430178605
7,1,41830000,600,5.1637580683719815
7,8,22665000,600,9.530112508272667
8,1,41970000,600,5.146533238027162
8,8,22539000,600,9.583388792759218
9,1,42622000,600,5.067805358734925
9,8,53575000,600,4.031731217918805
10,1,41341000,600,5.224837328560025
10,8,52678000,600,4.100383461786704
11,1,42102000,600,5.1303976058144505
11,8,27039000,600,7.988461111727505
12,1,41397000,600,5.21776940357997
12,8,20927000,600,10.321594112868542
13,1,41420000,600,5.21487204249155
13,8,34689000,600,6.226757761826516
14,1,42245000,600,5.113031127944136
14,8,61044000,600,3.5384312954590134
15,1,41137000,600,5.250747502248584
15,8,43003000,600,5.022905378694509
16,1,41474000,600,5.208082171963158
16,8,33499000,600,6.447953670258814
17,1,41143000,600,5.249981770896629
17,8,43079000,600,5.0140439657373665
18,1,41226000,600,5.239412021539805
18,8,56811000,600,3.802080582985689
19,1,42915000,600,5.033205173016428
19,8,95294000,600,2.266669465024031
0,1,47509000,625,5.13882895872361
0,8,28173000,625,8.665765981613601
1,1,48036000,625,5.082451182446499
1,8,14281000,625,17.095485260135845
2,1,47744000,625,5.113535208612601
2,8,56388000,625,4.329655689153721
3,1,47646000,625,5.1240529110523445
3,8,52085000,625,4.687350004799846
4,1,48056000,625,5.0803359622107545
4,8,80261000,625,3.0418338296308294
5,1,47939000,625,5.092735038277811
5,8,81375000,625,3.0001920122887866
6,1,48315000,625,5.053102038704336
